Year,Team,Wins,Losses,Ties,WDA,WDSD,NWDA,NWDSD,CM
2014,Big Daddy Santoro,96,32,2,7.38,2.95,0.738,0.295,2.495
2014,[TH3B1G] ToRo,83,46,1,6.38,3.09,0.638,0.309,2.061
2014,Show Me Your TDs,77,51,2,5.92,2.62,0.592,0.262,2.253
2014,Great Britton,76,52,2,5.84,2.57,0.584,0.257,2.268
2014,LaGarrette's Blunt,60,66,4,4.61,3.25,0.461,0.325,1.418
2014,Chad Wicks,59,69,2,4.53,2.93,0.453,0.293,1.547
2014,Huge Denver Broncos Fan ,58,69,3,4.46,2.98,0.446,0.298,1.492
2014,Brees's Boys,58,69,3,4.46,3.40,0.446,0.340,1.309
2014,Conneticut Douches,51,77,2,3.92,3.59,0.392,0.359,1.091
2014,Bloodbath McGrath,45,82,3,3.46,2.87,0.346,0.287,1.203
2014,Yinzburgh FC,39,89,2,3,3.02,0.3,0.302,0.990
