Year,Team,Wins,Losses,Ties,WDA,WDSD,NWDA,NWDSD,CM
2012,Dub-U Jackets,84,33,0,6.46,2.43,0.717,0.270,2.652
2012,Ghost Team,74,43,0,5.69,2.42,0.632,0.269,2.343
2012,Team Hohn,73,42,2,5.61,2.69,0.623,0.299,2.084
2012,Dport Demon,66,51,0,5.07,2.62,0.564,0.292,1.931
2012,Hohn Killaz,63,51,3,4.84,2.85,0.538,0.317,1.698
2012,Great Britton,63,51,3,4.84,2.79,0.538,0.310,1.734
2012,CoLlEgEsTuDeNt BUTNOTRLY,55,60,2,4.23,2.86,0.470,0.318,1.478
2012,Team skinners crew,47,70,0,3.61,2.87,0.401,0.319,1.258
2012,Chad Wicks,34,81,2,2.61,2.59,0.290,0.288,1.006
2012,Conneticut Douches,20,97,0,1.53,1.80,0.170,0.200,0.850
