Year,Team,Wins,Losses,Ties,WDA,WDSD,NWDA,NWDSD,CM
2013,Team Hohn,103,40,0,7.92,2.62,0.720,0.238,3.014
2013,Great Britton,96,46,1,7.38,2.98,0.671,0.271,2.472
2013,If you can't beat Em join Em,88,55,0,6.76,3.63,0.615,0.330,1.863
2013,[TH3B1G] ToRo,84,59,0,6.46,2.87,0.587,0.261,2.247
2013,Tartan Army,83,59,1,6.38,3.35,0.580,0.305,1.902
2013,Im just Too OP,75,66,2,5.76,3.13,0.524,0.285,1.837
2013,D'Tebow Unchained,69,74,0,5.30,3.27,0.482,0.297,1.620
2013,Chad Wicks,61,82,0,4.69,3.70,0.426,0.336,1.266
2013,Conneticut Douches,61,82,0,4.69,2.59,0.426,0.235,1.808
2013,Huge Denver Broncos Fan ,49,94,0,3.76,4.04,0.342,0.367,0.931
2013,Show Me Your TDs,44,99,0,3.38,2.66,0.307,0.242,1.271
2013,Bloodbath McGrath,43,100,0,3.30,3.61,0.300,0.328,0.915
