Year,Team,Wins,Losses,Ties,WDA,WDSD,NWDA,NWDSD,CM
2016,Great Britton,98,44,1,7.53,2.75,0.685,0.250,2.734
2016,Refurbished  Sextoys ,90,51,2,6.92,3.66,0.629,0.332,1.890
2016,Erd's Stoonads,87,53,3,6.69,3.52,0.608,0.320,1.900
2016,Dux Nonnarum Volantium,85,56,2,6.53,3.73,0.594,0.339,1.751
2016,Yinzburgh FC,85,55,3,6.53,3.82,0.594,0.347,1.711
2016,Chad Wicks,81,61,1,6.23,2.91,0.566,0.265,2.133
2016,Dak to the Future ,67,75,1,5.15,2.54,0.468,0.231,2.025
2016,Red Leader,65,76,2,5,2.91,0.454,0.265,1.714
2016,Kalifornia Kommies,56,85,2,4.30,3.70,0.391,0.336,1.162
2016,Huge Denver Broncos Fan ,54,86,3,4.15,2.91,0.377,0.264,1.426
2016,Shivakamini  Somakandarkram,46,95,2,3.53,3.43,0.321,0.311,1.031
2016,Bloodbath McGrath,32,109,2,2.46,2.33,0.223,0.211,1.055
