Year,Team,Wins,Losses,Ties,WDA,WDSD,NWDA,NWDSD,CM
2015,Great Britton,116,26,1,8.92,2.36,0.811,0.214,3.778
2015,[TH3B1G] ToRo,95,46,2,7.30,3.11,0.664,0.283,2.342
2015,Big Daddy Santoro,94,47,2,7.23,2.00,0.657,0.182,3.603
2015,Huge Denver Broncos Fan ,92,51,0,7.07,2.75,0.643,0.250,2.570
2015,Lackner's Heroes,89,54,0,6.84,2.57,0.622,0.234,2.656
2015,Chad Wicks,83,59,1,6.38,3.04,0.580,0.276,2.098
2015,Shivakamini  Somakandarkram,71,68,4,5.46,3.59,0.496,0.326,1.518
2015,Yinzburgh FC,70,72,1,5.38,3.52,0.489,0.320,1.527
2015,Coach Lackner's Glasses,43,97,3,3.30,3.22,0.300,0.293,1.025
2015,Conneticut Douches,39,102,2,3,2.48,0.272,0.225,1.208
2015,LaGarrette's Blunt,31,107,5,2.38,2.46,0.216,0.224,0.966
2015,Bloodbath McGrath,24,118,1,1.84,1.46,0.167,0.133,1.261
